area Name,area type,year,variable,value
BNA 9603,Tract,1990,High School Graduates White Age 25 Up,770.0
Tract 6,Tract,1990,High School Graduates White Age 25 Up,2993.0
Tract 16,Tract,1990,High School Graduates White Age 25 Up,1472.0
BNA 9606,Tract,1990,High School Graduates White Age 25 Up,272.0
Tract 514,Tract,1990,High School Graduates White Age 25 Up,2253.0
BNA 9603,Tract,1990,High School Graduates White Age 25 Up,1249.0
BNA 9608,Tract,1990,High School Graduates White Age 25 Up,397.0
Tract 525.02,Tract,1990,High School Graduates White Age 25 Up,4186.0
Currituck County,County,1990,High School Graduates White Age 25 Up,5656.0
Gaston County,County,1990,High School Graduates White Age 25 Up,60936.0
Gates County,County,2010,High School Graduates White Age 25 Up,4477.0
Chadbourn,Municipality,2015,High School Graduates White Age 25 Up,354.0
River Bend,Municipality,2000,High School Graduates White Age 25 Up,2163.0
Duplin County,County,1990,High School Graduates White Age 25 Up,10878.0
Durham County,County,1980,High School Graduates White Age 25 Up,41685.0
Shallotte,Municipality,1980,High School Graduates White Age 25 Up,120.0
Hildebran,Municipality,2015,High School Graduates White Age 25 Up,1129.0
Union County,County,1970,High School Graduates White Age 25 Up,8458.0
Yancey County,County,2010,High School Graduates White Age 25 Up,9929.0
Lilesville,Municipality,1980,High School Graduates White Age 25 Up,70.0
McFarlan,Municipality,2010,High School Graduates White Age 25 Up,85.0
Peachland,Municipality,2000,High School Graduates White Age 25 Up,151.0
Thomasville,Municipality,2000,High School Graduates White Age 25 Up,6223.0
Mocksville,Municipality,1990,High School Graduates White Age 25 Up,1358.0
Clemmons,Municipality,2000,High School Graduates White Age 25 Up,7688.0
Rural Hall,Municipality,1980,High School Graduates White Age 25 Up,212.0
Alexander County,County,1970,High School Graduates White Age 25 Up,2517.0
Tract 517,Tract,1990,High School Graduates White Age 25 Up,2619.0
BNA 9907,Tract,1990,High School Graduates White Age 25 Up,1423.0
BNA 9502,Tract,1990,High School Graduates White Age 25 Up,1719.0
Tract 6,Tract,1990,High School Graduates White Age 25 Up,2294.0
Bertie County,County,1990,High School Graduates White Age 25 Up,3839.0
Carteret County,County,2000,High School Graduates White Age 25 Up,33143.0
Chowan County,County,1970,High School Graduates White Age 25 Up,1483.0
Dare County,County,2010,High School Graduates White Age 25 Up,21593.0
Davidson County,County,1970,High School Graduates White Age 25 Up,14875.0
Waco,Municipality,1990,High School Graduates White Age 25 Up,104.0
Fair Bluff,Municipality,2010,High School Graduates White Age 25 Up,280.0
Falcon,Municipality,2015,High School Graduates White Age 25 Up,109.0
White Lake,Municipality,1990,High School Graduates White Age 25 Up,237.0
Boiling Spring Lakes,Municipality,2000,High School Graduates White Age 25 Up,1698.0
Greene County,County,2015,High School Graduates White Age 25 Up,6862.0
Macon County,County,2010,High School Graduates White Age 25 Up,19689.0
Madison County,County,1970,High School Graduates White Age 25 Up,2531.0
Caldwell County,County,1980,High School Graduates White Age 25 Up,16641.0
Cramerton,Municipality,1990,High School Graduates White Age 25 Up,998.0
Stokes County,County,2010,High School Graduates White Age 25 Up,24874.0
Delview,Municipality,2015,High School Graduates White Age 25 Up,5.0
Gastonia,Municipality,1990,High School Graduates White Age 25 Up,18016.0
Gatesville,Municipality,2015,High School Graduates White Age 25 Up,216.0
Black Mountain,Municipality,1990,High School Graduates White Age 25 Up,2724.0
Woodfin,Municipality,2010,High School Graduates White Age 25 Up,3110.0
Woodfin,Municipality,1980,High School Graduates White Age 25 Up,474.0
Windsor,Municipality,2000,High School Graduates White Age 25 Up,642.0
Atlantic Beach,Municipality,2015,High School Graduates White Age 25 Up,1155.0
Atlantic Beach,Municipality,2010,High School Graduates White Age 25 Up,406.0
